酒店名称,价格,评分,地址,入住日期
汉庭酒店（上海虹桥虹梅路店）,282.0,4.7,近龙溪路地铁站 · 虹桥,2025-05-01
锦江之星风尚(上海浦东机场镇店),218.0,4.5,近江镇新都汇生活 · 浦东机场核心区,2025-05-01
如家睿柏·云酒店(上海友谊西路地铁站店),199.0,4.6,近友谊西路地铁站 · 吴淞口国际邮轮港,2025-05-01
锦江之星(上海浦东机场镇店),229.0,4.5,近江镇新都汇生活 · 浦东机场核心区,2025-05-01
维也纳国际酒店(上海交大沪闵路店),241.0,4.5,近江川路地铁站 · 交大/闵行开发区,2025-05-01
全季酒店(上海陆家嘴浦东南路店),376.0,4.5,近第一八佰伴 · 陆家嘴,2025-05-01
吉泰连锁酒店(上海新华医院同济大学店),234.0,4.2,近鞍山新村地铁站 · 江湾/五角场,2025-05-01
一只柠萌酒店（上海淮海路店）,210.0,4.8,近常熟路地铁站 · 淮海路/新天地,2025-05-01
锦江之星(上海呼兰路地铁站智慧湾园区店),246.0,4.4,近呼兰路地铁站 · 顾村公园,2025-05-01
麦新格精品酒店（上海浦东国际机场店）,188.0,4.5,近东海广场 · 浦东机场核心区,2025-05-01
全季酒店(上海虹桥中山西路店),393.0,4.7,近新华路 · 虹桥,2025-05-01
大隐国际青年旅舍（上海火车站静安店）,164.0,4.7,近上海站 · 上海火车站地区,2025-05-01
虹舸公寓酒店,197.0,4.5,近金虹桥国际中心 · 虹桥,2025-05-01
艺龙安云酒店(上海大宁国际延长路地铁站店）,195.0,4.6,近延长路地铁站 · 大宁国际,2025-05-01
上海双阳精品酒店（黄兴路地铁站店）,180.0,4.1,近黄兴路地铁站 · 江湾/五角场,2025-05-01
全季酒店（上海松江店）,350.0,4.8,近松江新城地铁站 · 佘山/松江大学城,2025-05-01
一间森林青年旅舍(上海静安寺地铁站店),138.0,4.3,近南京西路地铁站 · 静安寺/南京西路,2025-05-01
锦江之星(上海漕宝路地铁站店),287.0,4.5,近漕宝路地铁站 · 光大会展中心/漕河泾地区,2025-05-01
唯庭轻居酒店（松江新城地铁站店）,238.0,4.5,近松江新城地铁站 · 佘山/松江大学城,2025-05-01
Zsmart智尚酒店(上海南京西路梅陇镇广场店),300.0,4.5,近梅龙镇广场 · 静安寺/南京西路,2025-05-01
全季酒店(上海武宁路地铁站店),388.0,4.7,近长寿路地铁站 · 长寿路,2025-05-01
上海森兰洲海路地铁站CitiGO HOUSE欢阁服务公寓,254.0,4.6,近洲海路地铁站 · 浦东外高桥,2025-05-01
登巴客栈（上海光大会展中心漕宝路地铁站店）,135.0,4.6,近漕宝路地铁站 · 光大会展中心/漕河泾地区,2025-05-01
