"Status","Name","Duration in ms","Description"
"passed","93-频道 频道跳转.频道管理pvs-字段","3","频道管理pvs-字段"
"failed","94-HB.播放页列表跳转播放buffer-条数","23","播放页列表跳转播放buffer-条数"
"failed","频道页看了还看.看了还会看点击“所以猜你喜欢”interestpv-字段值","4","看了还会看点击“所以猜你喜欢”interestpv-字段值"
"passed","01仍然搜.搜索首页pvs-字段值","3","搜索首页pvs-字段值"
"passed","3-我-会员中心.我的观影劵pvs-字段","3","页面跳转（首页-片库页-播放页）

我的观影劵pvs-字段"
"failed","用券影片.result-字段名","2","result-字段名"
"failed","10高级筛选 2（加自频道）.音乐pv-字段值","2","综艺推荐和搜索按钮搜索

音乐pv-字段值"
"failed","频道页排行榜.排行榜页recommend_hot-字段值","5","排行榜页recommend_hot-字段值"
"failed","11-推荐列表页大数据上报&Cdn上报.列表页点击播放buffer-字段","2","列表页点击播放buffer-字段"
"failed","7会员片库.sdkload-条数","1","sdkload-条数"
"failed","频道页切换Cid变化.电影看了会喜欢interestpv-条数","5067","电影看了会喜欢interestpv-条数"
"failed","14综艺-全部-中间页-相同系列.综艺中间页返回pvs-字段","1","综艺推荐和搜索按钮搜索

综艺中间页返回pvs-字段"
"failed","频道页切换Cid变化.电视剧看了会喜欢recommended_user-字段","4","电视剧看了会喜欢recommended_user-字段"
"failed","10高级筛选 2（加自频道）.纪录片pv-字段值","2","综艺推荐和搜索按钮搜索

纪录片pv-字段值"
"failed","09高级筛选 1.最热view-字段值","1","综艺推荐和搜索按钮搜索

最热view-字段值"
"failed","6音乐片库.筛选项最热list-字段名","1","筛选项最热list-字段名"
"failed","2电视剧片库.全部pvs-字段","1","全部pvs-字段"
"failed","前贴广告播放.四分之二监测t1800-字段","4","四分之二监测t1800-字段"
"failed","15电视-集数-上传视频-热门搜索.搜素结果返回搜素首页pvs-字段值","1","电视剧搜索

搜素结果返回搜素首页pvs-字段值"
"failed","8-频道 个人点播跳转.动态详情页aplay-字段值","3","动态详情页aplay-字段值"
"passed","4-我 页面跳转.活动中心返回pvs-字段","3","活动中心返回pvs-字段"
"failed","分集付费.点击购买按钮click_pay_button-字段名","2","点击购买按钮click_pay_button-字段名"
"failed","1综艺片库.中国香港list-条数","2","中国香港list-条数"
"failed","01仍然搜.仍然搜view-条数","31","仍然搜view-条数"
"failed","点播页.播放页看了还会看跳转播放aplay-条数","17083","播放页看了还会看跳转播放aplay-条数"
"failed","6音乐片库.频道管理页跳到音乐频道pvs-字段名","2","频道管理页跳到音乐频道pvs-字段名"
"failed","01仍然搜.退出搜索页pvs-字段值","4","退出搜索页pvs-字段值"
"failed","09高级筛选 1.1月view-字段","2","综艺推荐和搜索按钮搜索

1月view-字段"
"failed","09高级筛选 1.1天search-条数","2","综艺推荐和搜索按钮搜索

1天search-条数"
"failed","15电视-集数-上传视频-热门搜索.动漫search-条数","2","电视剧搜索

动漫search-条数"
"failed","下拉刷新&频道性能.纪录片页pmm-条数","27","纪录片页pmm-条数"
"failed","2电视剧片库.全部2list-条数","1","全部2list-条数"
"failed","付费影片.result-字段","2","result-字段"
"failed","前贴广告播放.四分之三监测t2700-字段","3","四分之三监测t2700-字段"
"failed","1-点播.下载cdn2-字段","4","下载cdn2-字段"
"failed","3电影片库.点第6个视频data-click-字段","1","点第6个视频data-click-字段"
"failed","1综艺片库.VIP免费list-字段名","2","VIP免费list-字段名"
"failed","分集付费.分集付费入口buy-条数","2","分集付费入口buy-条数"
"failed","付费影片.点击购买按钮click_pay_button-字段名","1","点击购买按钮click_pay_button-字段名"
"failed","3电影片库.动作科幻tag-select-字段名","1","动作科幻tag-select-字段名"
"failed","07电视剧-中间页.中间页pvs-字段","2","中间页pvs-字段"
"failed","6音乐片库.筛选项最热list-条数","1","筛选项最热list-条数"
"failed","14综艺-全部-中间页-相同系列.综艺中间页返回pvs-条数","1","综艺推荐和搜索按钮搜索

综艺中间页返回pvs-条数"
"failed","94-HB.点播45hb-字段","3","点播45hb-字段"
"failed","10高级筛选 2（加自频道）.电影view-字段","2","综艺推荐和搜索按钮搜索

电影view-字段"
"failed","15电视-集数-上传视频-热门搜索.动漫pvs-条数","3","电视剧搜索

动漫pvs-条数"
